Date,Samsung,LG
2021-01-04,75359,147768
2021-01-05,77308,153674
2021-01-06,80306,141976
2021-01-07,88287,140330
2021-01-08,75107,156848
2021-01-09,75398,156048
2021-01-10,77603,142176
2021-01-11,71540,145371
2021-01-12,73448,145403
2021-01-13,75386,152429
2021-01-14,83604,148660
2021-01-15,84255,159113
2021-01-16,80788,142519
2021-01-17,78802,149650
2021-01-18,71698,156516
2021-01-19,84070,154520
2021-01-20,72239,158196
2021-01-21,82515,148489
2021-01-22,87545,150029
2021-01-23,77474,150085
2021-01-24,87605,140398
2021-01-25,85297,152171
2021-01-26,71022,154798
2021-01-27,88025,141501
2021-01-28,71744,144242
2021-01-29,71930,153175
2021-01-30,78407,149459
2021-01-31,77565,147320
2021-02-01,80287,154801
2021-02-02,86329,143087
2021-02-03,89178,157839
2021-02-04,77646,159995
2021-02-05,83379,154514
2021-02-06,79267,153474
2021-02-07,79016,156373
2021-02-08,83842,141800
2021-02-09,74848,157324
2021-02-10,89243,140146
2021-02-11,71894,151755
2021-02-12,78577,143955
2021-02-13,79389,142968
2021-02-14,82532,141046
2021-02-15,80388,143143
2021-02-16,73380,145362
2021-02-17,81210,152849
2021-02-18,84117,154657
2021-02-19,75109,150677
2021-02-20,74418,155736
2021-02-21,72072,140475
2021-02-22,79716,154552
2021-02-23,70073,148157
2021-02-24,86576,147603
2021-02-25,83792,154392
2021-02-26,78855,156545
2021-02-27,86766,151942
2021-02-28,81533,155011
2021-03-01,76041,155585
2021-03-02,72757,159797
2021-03-03,72762,140792
2021-03-04,75605,154676
2021-03-05,82865,156190
2021-03-06,82085,154292
2021-03-07,88369,154778
2021-03-08,84059,152507
2021-03-09,75469,154369
2021-03-10,74685,156302
2021-03-11,87213,152911
2021-03-12,86579,146981
2021-03-13,70238,140146
2021-03-14,89794,147976
2021-03-15,78710,153526
2021-03-16,80744,147600
2021-03-17,80139,152332
2021-03-18,72841,143541
2021-03-19,74252,143698
2021-03-20,87931,158589
2021-03-21,75361,143040
2021-03-22,82678,141844
2021-03-23,80396,150731
2021-03-24,89161,158382
2021-03-25,83557,142996
2021-03-26,81992,153485
2021-03-27,72840,153840
2021-03-28,79416,146293
2021-03-29,70934,153631
2021-03-30,85082,159403
2021-03-31,87206,151550
2021-04-01,74012,140731
2021-04-02,71432,150182
2021-04-03,70626,148867
2021-04-04,70805,158912
2021-04-05,86446,150083
2021-04-06,87928,148748
2021-04-07,80160,143697
2021-04-08,87168,141783
2021-04-09,86740,150307
2021-04-10,71952,149172
2021-04-11,89615,141199
2021-04-12,89374,142243
2021-04-13,74710,144896
